UNIPROT	Genes	R_Ctrl_1	R_Ctrl_2	R_Ctrl_3	R_Ima_1	R_Ima_2	R_Ima_3	S_Ctrl_1	S_Ctrl_2	S_Ctrl_3	S_Ima_1	S_Ima_2	S_Ima_3
P01023	A2M	796034	809464	601767	672452	962730	570013	647872	412607	624270	162233	692350	932476
Q9NRG9	AAAS	2180000	2240000	2590000	2170000	2280000	2140000	2270000	2330000	2230000	1950000	2010000	1920000
Q86V21	AACS	1410000	1330000	1390000	1460000	1160000	1420000	179119	180251	200125	168680	138098	197455
Q6PD74	AAGAB	NA	1760000	1410000	2570000	1390000	3610000	3260000	3430000	3120000	2350000	1760000	1970000
Q2M2I8	AAK1	933847	1000000	932422	931769	1060000	914554	831119	819244	818271	709717	567468	595519
Q9H7C9	AAMDC	77637.9	NA	78242.3	49303.2	44061.1	25614.1	333995	299213	247929	536121	530396	624247
Q13685	AAMP	490232	508529	602136	508414	525097	514475	694215	702771	766562	378841	324167	361763
Q9Y312	AAR2	1180000	641805	955777	729205	835902	1080000	917789	970644	1030000	645147	700942	902296
P49588	AARS	10500000	10400000	10900000	10000000	10100000	9770000	17000000	17100000	17400000	20900000	20900000	19300000
Q5JTZ9	AARS2	433943	301095	390226	337860	372530	386901	1200000	1310000	1310000	1610000	1620000	1690000
Q9BTE6	AARSD1	562914	476060	566578	565858	490260	507092	NA	NA	NA	NA	NA	NA
Q9NRN7	AASDHPPT	156643	112437	174016	117662	99740.8	172707	955044	1110000	1020000	1140000	1100000	849658
Q9NY61	AATF	1200000	1150000	1340000	1140000	1160000	1060000	1200000	1090000	1140000	869612	799102	809066
Q9BZC7	ABCA2	160883	169084	151612	206257	179296	174065	NA	NA	NA	NA	NA	NA
Q99758	ABCA3	NA	NA	NA	NA	NA	NA	62084.6	34083	64343.8	64099.8	36021	91866.9
Q9NRK6	ABCB10	850262	696877	701398	818379	695104	716737	1320000	1220000	1330000	2320000	2200000	2800000
Q9NP58	ABCB6	548984	353323	378941	553945	314298	473177	541332	546471	654908	1090000	1260000	1560000
O75027	ABCB7	707365	750065	980502	854477	671535	799340	510393	547708	490295	746261	620738	805534
Q9NUT2	ABCB8	247875	196568	200075	206821	176104	233784	389971	374325	456188	490670	468068	654841
P33527	ABCC1	636398	617767	545981	703135	424525	666168	420222	377563	386384	428694	442334	489129
O15439	ABCC4	131443	118705	154448	197587	112708	167364	212230	214007	220895	292029	262412	268141
P33897	ABCD1	NA	NA	NA	NA	NA	NA	163829	159231	183490	306953	344217	369752
P28288	ABCD3	873254	986941	994652	1090000	815366	885339	982183	1060000	1120000	807763	721570	653109
P61221	ABCE1	4260000	4020000	4070000	4000000	3960000	4110000	4100000	4260000	4100000	3060000	3190000	3310000
Q8NE71	ABCF1	1260000	1300000	1390000	1160000	1140000	1190000	3670000	3590000	3700000	3010000	2990000	2840000
Q9UG63	ABCF2	5360000	5370000	5300000	5530000	5510000	4980000	5930000	6300000	6060000	3320000	3060000	3050000
Q9NUQ8	ABCF3	1260000	1220000	1260000	1220000	1210000	1310000	1610000	1720000	1670000	1410000	1440000	1500000
Q9NUJ1	ABHD10	3330000	NA	NA	NA	NA	NA	1770000	1810000	1680000	2290000	2220000	2140000
Q8NFV4	ABHD11	NA	NA	NA	NA	NA	NA	712194	886864	795536	1300000	1180000	1150000
Q8N2K0	ABHD12	157854	149194	214776	286238	174150	217464	203217	185491	188228	216808	200253	234838
Q9BUJ0	ABHD14A	1470000	1070000	2890000	1090000	2190000	1760000	NA	NA	NA	80250.6	866181	867372
Q96IU4	ABHD14B	1020000	652684	629483	743568	706595	608849	2110000	2240000	2080000	2920000	2920000	2470000
O95870	ABHD16A	171867	200113	193518	177257	127099	191184	896437	811769	879046	1140000	1080000	1020000
Q5VST6	ABHD17B	231636	272534	184673	263644	236234	248059	NA	58855.5	NA	NA	NA	NA
Q8WU67	ABHD3	NA	NA	NA	NA	NA	NA	249266	182517	131954	112528	159390	238166
Q8TB40	ABHD4	428356	357533	366351	349077	357141	345367	132861	NA	51386	196788	116914	140161
Q8WTS1	ABHD5	260050	221304	193253	194879	204628	204874	315571	451651	342546	1120000	1080000	882573
Q8IZP0	ABI1	995801	981292	1270000	949943	1120000	939130	1290000	1150000	1110000	1390000	1450000	1440000
P00519	ABL1	79485.8	NA	NA	NA	NA	NA	693938	742697	765144	955918	951383	794356
P42684	ABL2	60983.4	94248.7	114780	77714.3	73922	81151.8	228052	212902	228401	129759	116464	80118.3
Q6H8Q1	ABLIM2	146942	179656	214988	NA	107408	137290	204701	160055	109455	215782	250191	271055
Q12979	ABR	81788.8	133138	90259.9	152672	138534	155989	NA	NA	NA	NA	NA	NA
Q9P1F3	ABRACL	1360000	933622	1100000	961602	1390000	1710000	NA	NA	NA	29275	NA	NA
Q9ULW3	ABT1	956777	978752	988862	914842	861221	920407	1280000	1230000	1230000	826334	902913	860252
P09110	ACAA1	2160000	2360000	1990000	1780000	2020000	1900000	1720000	1830000	1660000	1760000	1900000	1660000
P42765	ACAA2	724586	757523	755110	680436	846032	856647	526312	550269	519696	912277	926729	812735
Q13085	ACACA	1430000	1460000	1410000	1460000	1270000	1430000	1630000	1550000	1630000	1210000	1210000	1200000
O00763	ACACB	209481	199503	218373	277476	189705	222081	NA	NA	NA	NA	NA	NA
Q6JQN1	ACAD10	NA	NA	NA	NA	NA	NA	56701.3	94794.7	83195.9	192461	163308	163156
Q9UKU7	ACAD8	402502	477284	543738	550344	480070	345219	216654	216693	183142	381694	352428	282859
Q9H845	ACAD9	976977	1010000	1120000	1030000	832485	1150000	657050	696526	696514	785517	867043	875435
P28330	ACADL	750152	1710000	1120000	519344	1610000	1250000	NA	NA	NA	NA	NA	NA
P11310	ACADM	1220000	1560000	1710000	1610000	1600000	1640000	4590000	4850000	4390000	6240000	6290000	6300000
P16219	ACADS	1580000	2180000	1930000	1640000	1980000	1610000	894216	912912	897962	1760000	1710000	1640000
P45954	ACADSB	547214	563056	578580	823282	557636	563861	301178	342551	278026	543679	583003	546011
P49748	ACADVL	1730000	1710000	1760000	1780000	1710000	1520000	3210000	3090000	2990000	4130000	4160000	4280000
Q15027	ACAP1	693886	677332	723498	569331	673588	630777	NA	NA	NA	NA	NA	NA
Q15057	ACAP2	470601	503737	492529	488483	531793	425254	651054	633105	677467	646953	697814	691662
P24752 ; P35610	ACAT1	3760000	4000000	3740000	3170000	3730000	3050000	4250000	4410000	4450000	7140000	7850000	6350000
