UNIPROT	Genes	R_Ctrl_1	R_Ctrl_2	R_Ctrl_3	R_Ima_1	R_Ima_2	R_Ima_3	S_Ctrl_1	S_Ctrl_2	S_Ctrl_3	S_Ima_1	S_Ima_2	S_Ima_3
P01023	A2M	1.0207240377420077	1.0237982652369901	1.001984832697818	1.0093275992501565	1.036633139872522	0.9970266140054088	1.0170977084526978	0.9817924790477799	1.0139300014771753	0.9152624792988328	1.0270087811939195	1.0448267672171776
Q9NRG9	AAAS	1.0964056067139976	1.100398636039439	1.1118795921596623	1.0974493654179995	1.1015025823641658	1.0965456466159766	1.1123996876862674	1.1132366540441128	1.110668248317046	1.104966623547328	1.1084034630159698	1.0997252103440043
Q86V21	AACS	1.0636719593536248	1.061167709852071	1.065020069357344	1.0676411634767367	1.0506581946475795	1.0656910213763535	0.9193788367129071	0.9189117538193362	0.9274900048495271	0.9182355592559465	0.9038914133410906	0.9268315820586098
Q6PD74	AAGAB	NA	1.0822496480282073	1.0660957158245516	1.1101746554566057	1.0642680320336022	1.1358824452479237	1.1399105851740696	1.1425981172732478	1.1361853906152557	1.1192016791751627	1.0982599688257688	1.1016793459131256
Q2M2I8	AAK1	1.032718942302335	1.0397061773794656	1.034957184850814	1.0338602530097205	1.0438751547942149	1.0325926093324285	1.0360297515817611	1.0338716542721977	1.0344915155532286	1.027856715135019	1.0118183091672814	1.0107423860529179
Q9H7C9	AAMDC	0.8458700125808205	NA	0.848381346471711	0.8127886122081095	0.8045772363611805	0.7636336543049581	0.9667373940680846	0.957393253374511	0.9437653005059209	1.0064562843612772	1.006658743095115	1.0143235076523462
Q13685	AAMP	0.9843073092248136	0.9888153612354329	1.0020309883271101	0.9882940597998087	0.9910229493859501	0.9893148508165286	1.022348986627168	1.0222277575225844	1.0295315673556331	0.9799643717118532	0.9690570376968433	0.9728548801581299
Q9Y312	AAR2	1.0502944489914687	1.006332190017704	1.0368198908459023	1.015422070880316	1.0260045063075292	1.0451014766167208	1.0435693242728914	1.0467476608843014	1.0519765189736872	1.0205793530705625	1.0279506889149141	1.0423259242476455
P49588	AARS	1.214502477766692	1.2159420708478519	1.2200849846320292	1.2123718425782413	1.2134880401910422	1.2107799792558545	1.2654367821971955	1.2645808214714185	1.2667709104945195	1.2859256843501436	1.2872319319119332	1.2751435095672339
Q5JTZ9	AARS2	0.9751449291892161	0.9493738342856078	0.9693717247206147	0.9575551873096635	0.9651954218234213	0.9678765949264823	1.0639477671217537	1.0695131359442327	1.0702477749223227	1.0903494034868	1.091929862927278	1.0900263735550286
